Keyword;Count
multiple layers;1
neural network method;2
computational efficiency;1
backpropagation techniques;2
critical features;2
model analysis;1
embedded feature selections;1
neural network classifier;1
non-communicable disease;1
selection techniques;2
forth (programming language);1
area under the curves;1
competitive models;2
introductory programming;1
performance prediction;2
student behaviours;1
student performance;4
solution approach;1
survey data;1
user behaviour;1
extractive summarizations;1
research interests;1
black-box process;1
modeling languages;2
cardiology domains;1
quantitative description;1
structural information;2
financial transactions;2
first principles;1
hybrid approach;2
importance analysis;3
text clustering;1
clinical data sets;1
object region;2
qualitative evaluations;2
global feature vectors;1
human cognition;3
retrieval models;1
retrieval systems;2
retrieval techniques;1
working mechanisms;2
patents and inventions;1
rul predictions;1
stacked neural networks;1
accuracy improvement;1
cheating detection;2
churn predictions;3
model compression;1
multi-view datum;1
multiple views;1
on-line gaming;2
virtual worlds;1
bayesian inference;1
human robots;3
mental state;1
mind models;1
project website;1
adversarial networks;2
real applications;1
adaptive neighborhood;1
comprehensive comparisons;1
data selection;1
decision functions;2
logical rules;1
qualitative analysis;3
java programming language;1
interval type-2 fuzzy sets;1
java library;1
mathematical properties;2
software libraries;2
type-2 fuzzy set;2
application contexts;1
design drivers;1
exception rules;1
fuzzy rule based;1
hierarchical fuzzy;1
counter examples;2
multi-modal information;1
autonomous task;2
open sources;3
bayesian knowledge tracings;1
design and implementations;1
post-hoc explanations;1
user-centered design process;1
eeg signals;1
neural correlate;1
neural signals;1
personalized recommendation systems;1
quantitative measures;2
symbiotic relationship;1
encrypted traffic;1
network functions;3
network intrusion detection systems;1
traffic classification;2
traffic classifiers;2
training dataset;3
affect computing;3
affect detection;2
electrodermal activity;2
neural modeling;1
respiration signals;1
critical effects;1
internal architecture;2
multi label classification;1
real world domain;2
unified framework;3
computational electromagnetics;1
previous year;1
hard disk storage;1
failure rate;2
fault prediction;1
hard disk drives;1
health status;3
computer programming languages;1
rule-based approach;2
agent architectures;2
cognitive process;3
multi-user;1
on-line social networks;1
practical reasoning;2
clinical decision support;2
cytopathology;1
conversational;1
conversational agents;3
explainable;5
work in progress;2
argumentation semantics;2
argumentation-based agent;2
explainable agency;1
extended model;2
rescue robot;1
knowledge engineering;1
abstraction layer;1
contextual information;4
planning domains;2
planning process;2
problem structure;1
breast cancer detection;1
breast cancer diagnosis;2
cancer detection;1
multi-layered perceptron;1
semantical information;1
biopsy;2
liquids;1
biomedical applications;1
evolutionary fuzzy systems;1
personalised medicines;1
qualitative approach;2
real decision support;1
causal explanations;6
know-that;2
process-based;1
formalisation;3
human thinking;1
lattice structures;1
mathematical approach;2
object attributes;2
user profile;5
automatic decision;1
german tenancy law;1
text similarity;4
text-matching;1
tfidf;1
biometrics;3
psychophysiology;2
aggregate performance;1
controlled manipulations;1
face recognition algorithms;1
scientific fields;1
summary statistic;1
visual psychophysics;1
ai for social good;1
event location;1
global data;1
global data on event, location, and tone;1
global peace index;1
news;1
peace;1
shap;24
well being;2
emergency rooms;1
emergency departments;1
forecasting emergency department visit;1
historical data;1
resource management;1
time based;1
data acquisition;3
affective computing;5
data collection;2
emotional computing;1
human-centred designs;1
intelligent solutions;1
pregnant woman;1
privacy;2
responsible artificial intelligence;2
security;5
eye trackers;2
human subject experiments;1
developing countries;2
energy efficiency;3
artificial neural network modeling;1
building energy performance;2
building energy performance certificate;1
energy performance;2
input features;10
modeling accuracy;3
neural network classification;1
estimation method;1
nitrogen;1
spectral analysis;1
life satisfaction;2
pedestrian;1
urban design;1
usability engineering;2
healthcare services;2
model agnostic explanation;1
usability evaluation;1
usability studies;2
machine reasoning;2
structural data;1
web application;2
errors tolerance;1
human-artificial intelligence team;1
human-machine systems;1
set of questions;1
sharp focus;1
advanced stage epithelial ovarian cancer;1
cc0 resection prediction;1
complete surgical cytoreduction;1
cytoreductive surgery;1
ecog performance status;1
intraoperative mapping of ovarian cancer score;1
oncological parameters;1
operation duration;1
ovary carcinoma;1
peritoneal carcinomatosis index;1
predictive model;3
r0 prediction risk;1
r0 resection;1
r0 resection prediction;1
scoring system;2
shapley additive explanations;1
site of largest tumor deposit;1
surgical complexity score;1
xai model;1
modal analysis;2
artificial intelligence in dermatology;1
biomedical image analysis;1
dermoscopic images;1
skin lesion;4
textual explanation;1
dermatologist;1
melanoma;2
nevus;1
digital libraries;1
historical dataset;1
medical fields;2
systematic mapping;1
end users' perceptions;1
tradeoff;1
user-centred;9
cells;2
cytology;2
disease control;1
immune system;2
blood cancer;1
blood cells;1
bone marrow;1
cell-be;1
cell/b.e;1
cell/be;1
children and adolescents;1
lymphocytic leukemia;1
transfer learning methods;1
white blood cells;1
adolescent;3
leukemia;2
algorithmic prediction;1
fairness;14
fairness judgements;1
syntactics;3
natural language understanding;2
network activations;1
neural network systems;1
syntactic interpretation;1
syntactic trees;1
visualizers;2
3d computer vision;1
autonomous robotics;1
point-clouds;3
privacy and ethic in vision 3d computer vision;1
surrogate modeling;13
application area;2
health care professionals;3
large datasets;3
visual analytics systems;1
learn+;14
machine learning systems;6
ensemble learning;4
food recognition;1
mobile applications;2
user-centered explainable artificial intelligence;1
benchmarking;2
dietitian;1
food analysis;1
malaysian;1
mobile application;1
multilabel classification;1
nutritional assessment;1
radial basis function;1
transfer of learning;2
food;2
drug surveillance program;2
feasibility study;1
adverse drug reaction reporting systems;1
drug-related side effects and adverse reactions;1
feasibility studies;1
building energy model;1
energy model;1
energy systems;1
modeling fidelity;1
smart grid;2
acute coronary syndrome;2
administrative data;1
adverse outcomes;2
chemical class;1
coronary syndromes;1
health informations;1
pharmacovigilance;2
alendronic acid;1
allopurinol;1
amiloride;1
amiodarone;1
amlodipine;1
antiarrhythmic agent;1
atenolol;1
atorvastatin;1
baclofen;1
bendroflumethiazide;1
bisoprolol;1
calcium;2
candesartan;1
captopril;1
carvedilol;1
celecoxib;1
clonidine;1
colchicine;1
colecalciferol;1
diclofenac;1
digoxin;1
diltiazem;1
diuretic agent;1
enalapril;1
eprosartan;1
ezetimibe;1
felodipine;1
fenofibrate;1
flecainide;1
fluindostatin;1
fosinopril;1
furosemide;1
gemfibrozil;1
glyceryl trinitrate;1
hydrochlorothiazide;1
ibuprofen;1
indapamide;1
indometacin;1
irbesartan;1
isosorbide mononitrate;1
ketoprofen;1
lercanidipine;1
lisinopril;1
lumiracoxib;1
meloxicam;1
methyldopa;1
metoprolol;1
naproxen;1
nicorandil;1
nifedipine;1
perindopril;1
pindolol;1
piroxicam;1
pravastatin;1
prazosin;1
propranolol;1
quinapril;1
quinoline derivative;1
ramipril;1
rofecoxib;1
rosuvastatin;1
simvastatin;1
spironolactone;1
telmisartan;1
trandolapril;1
verapamil;1
administrative health data;1
adverse outcome;1
diuretic therapy;1
drug safety;1
hospital discharge;2
hospitalization;1
library;2
medical history;1
medical information;2
musculoskeletal system;2
outcome assessment;2
audio systems;1
audition;1
pattern recognition systems;1
intelligent devices;1
multi-modality;1
sonifications;1
trustworthy artificial intelligence;2
visual media;1
anomaly detection frameworks;1
hierarchical clustering analysis;1
maritime industry;1
unsupervised method;1
river;1
database systems;1
informatics;1
analytics systems;1
database engineering;1
general model;1
health care informatics;1
privacy concerns;1
privacy preserving;3
wireless networks;2
decision tree models;1
design phase;1
ensemble modeling;1
fuzzy models;2
next generation cellular networks;1
quality of experience (qoe);1
video streaming applications;1
close approximation;1
partial derivatives;1
reference points;3
reference values;1
regression problem;3
symbolic regression;1
feature level;1
reasoning mechanism;3
human approach;1
medical experts;7
skin images;1
classification networks;1
deep classifications;1
generalisation;3
object classification;4
training strategy;1
visual evidence;1
design method;3
computer software;3
interactive computer systems;4
multimedia systems;1
cognitive resources;1
interactive maps;1
interactive multimedia;1
interactive texts;1
multiple choice;2
computational experiment;1
decision surfaces;1
detection models;7
low dimensionality;1
painting;1
prolog (programming language);1
art;1
color descriptors;1
fuzzy representations;2
fuzzy-logic;2
horn clause;3
logic-programming;6
product logic;1
qualitative colours;2
modulation;1
automatic modulation classification (amc);1
bottleneck models;1
modulation classification;1
modulation schemes;1
radio frequencies;1
single networks;1
wireless standards;1
additional knowledge;1
image-based models;1
model inversion;1
privacy attacks;1
privacy risks;1
target model;5
calibrated trust;1
digital nudging;1
conceptual spaces;1
decision-tree algorithm;2
interpretable representation;2
space theory;1
state-space;2
temporal dynamics;1
value functions;1
unmanned surface vehicles;1
autonomous surface vessels;1
berthing;1
docking;2
linear model trees;1
network policy;1
policy optimization;1
real- time;4
robotics applications;2
national security;1
timing circuits;1
bi-lstm;1
explainable anomaly detection;1
hai dataset;1
industrial control systems;1
system stability;1
control actions;1
cost of operations;1
deterministics;3
electricity trading;1
external features;1
frequency deviation;1
frequency quality;1
power grid frequencies;1
power systems stability;1
power- generations;1
additivity;1
academic community;1
user research;2
user view;1
user-centered studies;1
linear discriminant analysis;1
neural network (nn);2
clinician;1
diabetic macular edema;1
drusen;1
feedback system;2
medical assessment;1
optometrist;1
retina disease;2
retinal pigment epithelium;1
rule extraction;1
textual features;1
mixed data;2
flow control;2
auto regressive integrated moving average models;1
bathtub curve;1
functional forms;1
linear trends;1
surrogate model;4
communication infrastructure;1
credit card transactions;1
data stream mining;1
numerical features;2
practical importance;1
predictive data mining;1
real time algorithms;1
intelligent environment;1
dual process;1
dual-process theories;1
logical decisions;1
multiple class;1
italy;2
violence;1
building energy;1
energy demand prediction;1
technology fields;1
technology-in-practice;1
information filtering;3
attribute information;1
different layers;1
system defects;1
traditional models;1
user interests;1
computational neuroscience;1
artificial brain;1
brain circuits;1
network activities;1
neural activity;1
neuroethology;1
neurorobotics;2
neurorobots;1
real world setting;2
brain function;2
neuroscience;1
diagnosis methods;3
feature learning;3
high-dimensional feature space;1
pathological image analysis;2
pathological images;2
receiver operating curves;2
visual interpretation;2
optimization;2
classification evaluation;2
data dependent;1
hill climbing search;1
logic programs;3
search spaces;1
support vector;1
support vector machine algorithm;1
estimation methods;1
estimation models;1
feature selection algorithm;2
teleoperated;2
interactive website;1
gesture recognition;1
human movements;1
human pose estimations;1
kinematic theory;1
log-normal model;1
physical domain;1
physical features;1
class of methods;1
computation burden;1
original images;3
prediction time;1
similar image;1
blending;1
design science methodologies;1
human agency;1
user-centric designs;1
fine-grained analysis;3
personal characteristics;1
regression model;5
information management;8
structural elements;1
based on case-based reasoning;1
user-centric evaluations;2
computational costs;5
negative sentiments;2
sentiment scores;1
automatic identification;1
adaptive approach;1
instructional system;1
knowledge translation;1
quality of information;1
translation trainings;1
high level languages;3
linguistic rules;1
models and algorithms;1
multi objective evolutionary algorithms;1
multi-objective evolutionary fuzzy systems;1
global schemas;1
relevance score;4
rule-based models;2
scoring systems;2
coarse to fine;1
different class;2
discriminative features;1
multiple instances;1
spatial impacts;1
visual recognition;2
evaluating xai explanations;1
heuristic evaluation;1
scaling-up;1
public administration;3
government;1
interactive way;2
specific component;1
use context;1
american college of radiologies;1
automated classification systems;1
decision-making frameworks;1
healthcare environments;1
short memory;1
word representations;1
adversarial-attack;1
attack methods;2
euclidean distance;1
automated driving;2
human vehicle interactions;1
level of automations;3
trust and security;1
user interface designs;2
patternattribution;1
saturated zone;1
sentiment classification;2
taylor approximation;1
supply chains;2
decision tree regression;1
local explanation;7
mean absolute error;3
modified lime;1
research issues;1
service supply chains;1
ethical principles;2
logical formulas;1
logical representations;1
moral judgment;1
reasons;1
rational functions;1
economic theories;1
human actions;1
rational agents;1
robot actions;3
ultimatum game;1
utility functions;1
analogues;1
multidimensional data;2
personal assistants;1
reservoir analogues;1
similarity;1
visualization system;1
automated diagnosis;1
interview study;1
medical professionals;3
medical work;1
positive sides;1
moisture transfer;1
product development;1
cancer localization;1
irradiation;1
multiparametric magnetic resonance imaging;2
prostate cancer;1
prostate tissue;1
prostatectomy;2
radiological procedures;1
prostate tumor;1
driving systems;1
post-hoc interpretabililty;1
self drivings;2
vision based;2
human-centered evaluation;1
mental representations;3
attacking xai;1
model tampering;1
white box;5
civil defense;1
disasters;1
model structures;1
cause and effects;1
emergency management;1
feasibility analysis;1
real world environments;3
social media datum;1
explainable fairness;1
fairness in ai;1
recommendation mechanism;1
critical machine;1
nonlinear learning;1
predictive power;1
regression modelling;3
genes;2
diagnostic biomarkers;1
principal-component analysis;4
skin cancers;1
squamous cell carcinoma;3
xgboost machine learning classifier;1
principal component analysis;4
tumor marker;1
biological marker;3
actinic keratosis;1
cancer growth;1
diagnostic value;1
basal cell carcinoma;2
skin tumor;2
carcinoma, basal cell;1
carcinoma, squamous cell;1
blood vessels;1
aging assessment;1
boosting;5
extreme gradient boosting;5
index;2
photoplethysmogram;1
vascular aging;1
blood vessel;1
correlation coefficient;1
waveform;1
photoelectric plethysmography;1
investments;3
purchasing;1
sales;4
fund recommendation;1
graph embeddings;11
graph structures;1
mutual funds;1
link prediction;8
prediction modelling;11
prediction systems;1
traditional approaches;3
data debugging;1
model bias;2
real-life contexts;1
change management process;1
engineering change management;1
engineering change managements;1
ethical technology;5
clinical risks;1
edge intelligence;1
evolving and adaptive system;1
risks assessments;3
vital sign;1
control factors;1
control measures;2
data-driven prediction;1
global scale;1
multiscale modeling;1
confidentiality;2
novel architecture;2
smart manufacturing;2
model simplification;1
model visualization;1
near miss example;1
near-misses;2
relational concept;1
advice-taking;1
behavioral intention;1
health care providers;3
intention to use;2
ai-assisted ux evaluation;1
collaboration;2
intelligent user interface design;1
think-aloud usability test;1
usability tests;1
user experience (ux);1
biophysics;1
clinical gait analyse;1
ground reaction forces;1
human gait;1
human gait classification;1
statistical parametric mapping;1
blood;1
glass;3
box models;3
covid-19 diagnose;1
explainable boosting machine;3
expert users;8
human-centered ai method;1
interface designs;4
local feature;4
users' satisfactions;1
cognitive engagement;1
human-centered ai;4
incidental learning;1
learning gain;1
glioma;1
hypophysis tumor;1
meningioma;1
non insulin dependent diabetes mellitus;2
diabetes mellitus, type 2;2
context-sensitive;2
ethic of artificial intelligence;2
single well;1
internal structure;1
knowledge discovery and data minings;1
localisation;4
philosophy of language;1
tacit knowledge;1
automated generation;1
two-dimension;1
design data;1
drug design;3
in-silico models;1
structural feature;1
structure-activity relationships;1
computer simulation;3
structure activity relation;1
ships;3
domain model;1
maritime domains;2
multivariate time series classifications;1
edge computing;2
edge nodes;1
edge-based;1
fault classifier;1
fault detection systems;1
incipient fault detection;1
incipient faults;1
photovoltaic panels;1
coalitional strategies;1
laws and legislation;6
vector quantization;1
counterfactual metric change;1
learning vector quantization;1
prototype-based classifier;1
quantization models;1
convex optimization;1
learning;7
degree of explainability;2
graph extractions;1
graph information;1
objective explainability metric;1
ordinary languages;1
theoretical modeling;2
intrusion-detection;4
local and global explanation;1
botnet;1
behavioral science;4
botnet detection and classification;1
botnet detections;1
botnets;1
networks security;3
classifiers;4
interpretable explanation;1
nearest-neighbour;2
school students;2
secondary schools;1
support vectors machine;8
interpretable learning;1
linguistic patterns;1
novelty detection;1
text detection;1
tsetlin machine;1
word level;3
personal computing;1
cyber-attacks;3
flow data;1
hacker attacks;1
networks flows;1
agent-oriented programming languages;1
argumentation schemes;3
bdi agent;1
mental attitude;1
reasoning patterns;1
bandpass filters;1
benchmark testing;1
information filter;2
machine reading comprehension;1
reading comprehension;1
probes;1
biometric biometric;1
face processing;1
face verification;2
face verification algorithms;1
privacy and ethic in vision;4
moderators;1
reusability;1
software testing;4
design cycle;1
design option;1
design principles;5
design-science researches;2
hate speech detection;2
social media;6
social media platforms;2
speech detection;2
confidence;2
luhmann;1
processing time;1
quantitative criteria;1
conference paper;2
informatician;1
tension;1
nasa;5
steelmaking;2
strip metal;1
data driven technique;2
degradation process;1
hot strip mills;1
maintenance models;1
image reconstruction;2
signal encoding;9
heating system;2
images reconstruction;1
remote sensing scene classification;1
remote-sensing;2
scene classification;2
mapping method;1
reconstruction;1
key feature;4
non-parametric;1
proposed architectures;4
remote robot;1
statistical testing;1
consistency property;1
experimental validations;1
local approximation;2
local neighborhoods;1
semantic information;2
modeling type;1
autonomous dynamics;1
environmental forces;1
improving systems;2
multiple intensities;1
reconfigurable network;1
uncertain condition;1
social sciences;1
laboratory experiments;1
perceived controllabilities;1
light emission;1
emission lines;1
linear modeling;3
multilayer artificial neural networks;1
optical emission spectroscopies (oes);1
solution conductivity;1
spectral feature;1
input output programs;2
reliability analysis;1
input datas;4
learning neural networks;1
rules extraction;5
enterprise architecture;1
multidimensional platforms;1
organizational assessment;1
organizational performance;1
organizational value chain;1
first designs;1
policy networks;1
portfolio managements;1
reinforcement learning method;2
temporal convolutional network;1
temporal features;2
chatbots;1
conversational breakdown;1
human-chatbot interaction;1
in-application help;1
task-oriented;1
images classification;23
calibration error;1
collaborative decision making;4
integrated frameworks;1
research methods;1
actual system;2
comprehensive evaluation;1
data exploration;2
quantitative metrics;1
sensitivity check;1
arabidopsis protein;1
phya protein, arabidopsis;1
phye protein, arabidopsis;1
phytochrome;2
phytochrome a;2
phytochrome c, arabidopsis;1
arabidopsis;2
circadian rhythm;2
ecotype;2
physiology;3
regulatory sequence;1
apoproteins;1
arabidopsis proteins;1
circadian clocks;1
gene expression regulation, plant;1
detection system;3
disease detection;3
grad-cam++;1
nested structures;1
plant disease;2
optical tomography;3
filter kernel;1
macular disease;1
retinal optical coherence tomography;2
automated machines;1
support systems;2
design;4
dialog management;1
query behavior;1
supporting systems;1
system simulating;1
user reviews;1
users' perception;1
data engineering;1
industrial activities;1
value chains;1
coronavirus disease;1
demographic variables;1
neural network analysis;1
implications for futures;1
iterative design;1
model development;2
reduce time;1
visual search;1
satisficing;1
logic programming;5
answer set programming;7
cold start;1
historic data;1
methodological approach;2
ubiquitous computing;1
common knowledge;1
smart livings;1
complex image;1
behavioral biometrics;1
continuous authentications;1
explicit authentications;1
non-intrusive;1
third parties;3
unauthorized access;1
user identity;1
authentication;1
biometry;4
e-mail;1
internet;1
online system;1
confounder;1
linguistic features;2
organizing committee;1
peer review;1
peer reviewing;1
peer-review process;1
scientific papers;1
detection tasks;1
quality of predictions;1
text words;1
boosted decision trees;1
decision lists;1
decision rules/trees;1
dnf formulas;1
formula decision;1
multilayers perceptrons;3
polynomial-time;1
tree ensembles;4
bounding-box;1
unsupervised algorithms;1
arbitrary change;1
contrasting explanation;2
crime;6
phishing;1
phishing detections;1
image regions;5
visual pattern;1
manipulators;2
experience replay;1
gradient algorithm;1
hindsight experience replay;1
policy gradient;1
industrial iiot;1
statistical modeling.;1
data analytics;3
ex-plainability;1
medical data analytic;1
adversarial autoen-coder;1
labelings;3
skin lesion image classification;1
skin lesion images;1
local surrogate model;3
human decision-making;3
real data sets;2
real systems;1
exploration process;1
iterative model;1
restricted problem;1
motion pictures;1
explainable artificial intelligence machine learning;1
movie recommendations;1
tourism services;1
travel and tourism;1
travel services;1
word2vec;1
edutainment;1
interactive approach;2
technical expertise;1
computer programming;2
extraction algorithms;1
interpretable prediction;1
psyke;1
symbolic knowledge;3
generating methods;2
interdisciplinary fields;3
iterative process;2
target audience;1
user interaction;1
credibility assessment;1
information generation;1
pharmaceutical drugs;1
centralised;1
decentralisation;1
heterogeneous knowledge;1
personalisation;1
decision-based;5
language understanding;1
wi-fi;1
wireless local area networks (wlan);1
dynamic spectrum management;1
enabling technologies;1
essential features;1
short term prediction;1
spectrum occupancies;1
analytical evaluation;1
kyoto university;1
network intrusions;1
systems engineering;2
user action;1
ad hoc retrieval;1
contextual words;1
document ranking;1
document search;1
multiple documents;1
relative rankings;1
visual elements;1
focused search;1
generation process;2
hot research topics;1
uniform cost search algorithms;1
classical propositional logic;1
natural deduction;1
proof system;1
test designs;1
management tool;2
non-transparent models;1
decision making procedure;1
fair representation;1
model performance;1
nlp techniques;1
design time;1
shapelets;1
univariate time series;1
complex nature;1
computationally efficient;1
mental workload;2
on-line fashion;1
planning tasks;1
subject experiment;1
user rankings;1
user's perceptions;1
academic research;2
argumentative dialogues;2
autonomic management;1
decentralized algorithms;1
decentralized approach;2
decentralized architecture;1
decentralized system;1
representative case;1
influence model;1
input perturbation;2
machine listening;1
singing voice detection;1
associative classifiers;1
political factors;1
signal generation;1
stock price prediction;1
stock trading system;1
springs (components);1
iterative solutions;1
meijer g functions;1
optimal power allocation;1
parallel fading channels;1
symbolic representation;2
threshold searches;1
water-filling power allocations;1
anecdotal evidences;1
emerging topics;1
games with a purpose;1
games with a purposes (gwap);1
human evaluation;2
image recognition system;2
deep architectures;1
multi criteria analysis;1
neural architectures;1
privacy regulation;2
caltech;1
concept-based;7
model accuracy;1
model extraction;2
amazon mechanical turks;2
desktop interfaces;1
image domain;1
soft computing;3
digital picture;1
face images;1
fuzzy if-then rules;1
commerce;6
conceptual design;1
telecommunication services;1
text messaging;1
algorithmic model;1
direct marketing;1
hybrid framework;1
hybrid machine learning;3
product offerings;1
rule based reasoning;1
telecom industry;1
conditional inference;1
continuous distribution;1
dependence structures;1
financial data;1
industry standards;1
observability;1
automated image processing;1
technological optimization;1
preliminary analysis;1
finance;5
outsourcing;1
context;2
financial explanations;1
inference;1
medical explanations;1
high utility itemset minings;1
negation as failures;1
scalable algorithms;1
scalable implementation;1
intrinsic characteristics;1
quantitative result;1
ultrasonics;3
body segmentations;1
high frequency ultrasounds;1
learning-based segmentation;1
manual segmentation;1
morphological structures;1
similarity coefficients;1
specialized training;1
anomalous behavior;1
financial service;3
global explainability;2
local explainability;1
products and services;2
selecting services;1
stakeholder oriented;1
e-health systems;1
emotions in explanations;1
goal-based xai;1
long-term experiments;1
type 1 diabetes mellitus;1
indexing (of information);1
multi-modal approach;1
machine behavior;1
vision systems;1
large-scale deployment;1
scope of application;1
show through;1
smart system;2
user testing;3
context sensitive;1
explainable autonomy;1
user query;2
perception;1
radiographer;1
radiography;3
workforce;1
clinical competence;2
radiologist;1
radiology;3
united kingdom;1
radiologists;1
stress concentration;1
butt welded joint;1
fatigue failures;1
fatigue life prediction;1
fatigue strength;1
gradient boosted tree;1
small scale;2
stress concentration factors;1
bayesia n networks;6
bayesian network models;1
explanatory artificial intelligence (xai);1
local index;1
descriptive analysis;2
linguistic analysis;1
online social medias;1
psycho-linguistic analyze;1
rumor detection;1
diagnostic device;1
in vitro diagnostic device regulation;1
in-vitro diagnostic;1
ivdr;1
regulatory requirements;1
retractability;1
scientific validity;1
immunohistochemistry;1
in vitro study;1
medical device regulation;1
survival prediction;2
default rule;1
inductive learning;1
inductive logic programming;1
multi-category classification;1
rm algorithms;1
data reduction;1
dimension reduction;1
locally isometric;1
low-high;1
manifold learning;1
t-sne;1
umap;1
electrophysiology;2
physiological models;2
spectral density;1
visibility;1
adverse weather;1
adverse weather condition;1
aerodrome operations;1
bayesian neural networks;1
cognitive workloads;2
communications protocols;1
mutual informations;3
shared situational awareness;1
automated decision making systems;5
explanation fidelity;1
minimum explanation;1
modeling complexity;2
user trust;2
user trust models;1
app predictions;1
dairy farms;1
user judgements;1
evolutionary machine learning;1
interpretable model;5
rule discovery;1
rule-based learning;1
solution composition;1
activation heatmap;1
architecture understanding;1
black box representation;1
convolutional neural network visualization;1
feature visualization;2
network visualization;1
strain rate;1
stress analysis;1
brittle;1
ductile;1
ice compressive strength;1
interaction effect;3
material modeling;1
prioritization;1
semi-empirical approach;1
unknown inputs;1
ice;3
compressive strength;1
ice mechanics;1
adaptive boosting;3
friction;2
pavements;1
snow;2
snow and ice removal;1
directional control;1
friction coefficients;1
runway friction;1
snow and ice;1
snow/ice contamination;1
surface conditions;1
tire-pavement frictions;1
air transportation;2
pavement;1
opacity;2
product liability;1
ai opacity;1
causation;1
civil procedure;1
damage;1
evidence;1
expert evidence;1
law;2
negligence;1
products liabilities;1
healthcare;4
philosophical explanations;1
public trust;1
machine learning explainability;1
process mining;1
reaction kinetics;1
solutions;1
first-principles modeling;1
game playing;2
mechanistics;2
symbolic and numeric artificial intelligence;1
transport phenomenon;1
artifacts;2
incidence;1
patient counseling;1
prostate lobe;1
conformal predictions;1
prediction interval;1
predictive regression;1
test sets;1
users' acceptance;2
diabetics patients;2
healthy lifestyles;1
interpretable rules;1
metabolic disorders;1
type 2 diabetes mellitus;1
type-2 diabetes;1
healthy lifestyle;2
concentration (process);1
human-centric artificial intelligence;1
industry 5.0;1
knowledge fragments;1
electronic waste;2
wastes;1
bitcoin mining;1
block-chain;2
electronics wastes;1
energy wastes;1
energy-consumption;1
facebook prophet;1
waste generation;1
cognitive processing;1
overcurrents;1
processing steps;1
semantic labeling;1
collective creativities;1
creativity support;1
current feedback;1
diversity;2
human assessment;1
leveraging model;1
cross-modal;1
multi-modal data;1
news content;1
textual content;2
visual content;1
attention model;3
self-supervised;1
fake news detection;1
quantitative argumentation;3
variable importance cloud;1
thorax radiography;3
treatment failure;1
tic-tac-toe game;1
user feedback;2
user-centric evaluation framework;1
ximl;1
electronic commerce;1
e - learning;1
e- commerces;2
e-learning platforms;1
initial trusts;1
learning effects;1
teenager;1
analytic tools;2
blended learning;1
co-designing;1
learning analytic;1
personalized instruction;1
science classroom;1
science teachers;1
teacher dashboard;1
teachers';1
industrial hygiene;1
occupational diseases;1
fault classification;1
industrial accident;1
operational reliability;1
tennessee eastman;1
berg balance scale;1
daily life activity;1
dual energy x ray absorptiometry;1
mini mental state examination;3
muscle mass;1
osteopenia;1
range of motion;1
skeletal muscle;1
timed up and go test;1
metabolic bone disease;1
bone diseases, metabolic;1
gait analysis;1
caregiver;1
employment status;1
fatigue;1
health service;1
likert scale;1
motor neuron disease;1
rating scale;1
sleep;1
sleep disorder;1
social status;1
social support;1
rule list;1
uncertainty;8
analytic technique;2
causal relationships;5
medical science;1
scientific exploration;1
scientific researches;1
material informatics;1
material science;2
self-attention;1
environmental protection agency;1
fog;5
indoor air pollution;2
pyrene;1
trace elements;1
benzo(a)pyrene;2
carcinogenic potency;1
health effects;1
indoor environment;2
outdoor air pollution;2
outdoor environment;1
pm 2.5;1
potential exposure;1
benzo[a]pyrene;2
ion;1
polycyclic aromatic hydrocarbon;2
radon;1
trace metal;1
concentration (composition);1
health impact;1
indoor air;1
pah;1
particulate matter;4
pollution exposure;1
air pollution;1
air quality;1
concentration (parameter);1
environmental temperature;1
gas waste;1
humidity;1
particulate matter 2.5;1
serbia;2
urban area;1
air pollutant;1
environmental monitoring;2
belgrade;1
air pollutants;1
air pollution, indoor;1
micturition cystourethrography;1
ureter;1
ureter dilatation;1
ureteropelvic junction;1
vesicoureteral reflux;2
cystography;2
infant;2
als;1
clef1;1
neurological disease;2
data management problems;1
real-world entities;1
resolution modeling;1
central problems;1
individualisation;1
observational data;1
population data;1
generative adversarial networks;1
integrated circuit manufacture;1
mos devices;1
oxide semiconductors;1
semiconducting indium compounds;1
spice;1
thin film transistors;1
accumulated local effect;2
author hop;1
conditional generative adversarial network;1
design change;1
design parameters;1
gaussian-mixtures;1
gc circuit;1
local effects;3
variational gaussian mixture;1
abstract argumentation;9
formal argumentation;5
biological systems;4
;2
"inline-formula xmlns:ali=""""";1
>;1
"tex-math notation=""""latex"""">$k$";1
/tex-math>;1
/inline-formula>-mean clustering;1
biological system modeling;5
means clustering;1
neural network“;1
neuralization”;1
"xmlns:mml=""""";1
"xmlns:xlink=""""";1
"xmlns:xsi=""""";1
smartphones;2
android;1
malwares;3
operating system;1
explanation evaluation;2
explanation generation;1
explanation representation;1
systematic;1
change prediction;1
lane change;1
maneuver anticipation;1
prototype;5
safety-critical ai;1
smart solutions;1
critical fields;2
healthcare domains;1
financial auditing;1
financial fraud;1
financial fraud detections;1
financial statement frauds;1
game;2
on-line games;1
public health;2
water pollution;2
water pollution control;1
environmental pollutions;1
machine learning water quality;1
policy making;3
safe water;1
technology managements;1
urban centers;1
urban settings;1
water contamination;1
forensic science;2
forensic;1
hyper-parameter;4
hyperparameter tuning;1
multi-class classification;4
partial dependence plot;4
additive methods;1
comparatives studies;3
creative commons;1
higher dimensions;1
medical data sets;2
prediction explanation;1
global methods;2
uncertainty estimates;1
classification prediction;1
